Latitude,Longitude,Pays
-24.2257534,27.4807079,South Africa
-24.2349479,-66.2415229,Argentina
-24.2780333,29.9350485,South Africa
-24.285427,-52.277586,Brazil
-24.3023525,151.4616314,Australia
-24.3031419,28.110689,South Africa
-24.3060071,25.548753,Botswana
-24.3150965,142.8719884,Australia
-24.3201327,-69.9771362,Chile
-24.3336366,133.4672336,Australia
-24.3614218,30.6667042,South Africa
-24.3681095,150.9774556,Australia
-24.3806413,-51.1689305,Brazil
-24.3906548,31.7208485,South Africa
-24.4204403,25.022741,Botswana
-24.4221823,16.844156,Namibia
-24.4224515,26.6812675,South Africa
-24.4294336,149.9327159,Australia
-24.448661,151.6580943,Australia
-24.4675831,27.6120732,South Africa
-24.5025964,-70.5575386,Chile
-24.5317946,-49.9514641,Brazil
